direction,mv7_label,mv5_label,speaker_type,section,ticker,quarter,j1_qwen3,j2_gemma3,j3_cogito,j4_qwen314b,j5_gemma12b,j6_ministral3,j7_cogito14b,text
BP→SB,boilerplate,substantive,analyst,qa,JPM,Q1-2025,0,0,1,0,1,1,0,And maybe just on that point on volumes and deposits.
BP→SB,boilerplate,substantive,analyst,qa,WFC,Q4-2025,0,0,1,1,1,0,0,"And I think you mentioned that even beyond 2026, you see that."
BP→SB,boilerplate,substantive,analyst,qa,JPM,Q3-2024,0,0,1,1,1,0,0,"I mean, obviously, we just had one cut and it's early."
BP→SB,boilerplate,substantive,analyst,qa,INTC,Q2-2025,0,0,1,1,1,0,0,I guess I just kind of wonder like how an external customer would continue to be engaged.
BP→SB,boilerplate,substantive,analyst,qa,GS,Q1-2025,0,0,1,1,0,1,0,"But just maybe thinking through what areas might be underperforming right now, if any, that could improve in a better environment versus just maybe the different components which are doing well and which are underperforming, if possible?"
BP→SB,boilerplate,substantive,analyst,qa,GS,Q4-2023,0,0,1,1,0,0,1,"Is that someone from the Board currently, someone from outside Goldman Sachs, what type of person is the Board looking for?"
BP→SB,boilerplate,substantive,analyst,qa,AVGO,Q1-2024,0,0,1,0,1,1,0,And then kind of part B of that is on the switching side.
BP→SB,boilerplate,substantive,executive,qa,GS,Q4-2025,0,0,1,1,0,1,0,"But the bar for doing something significant and transformational is very, very high."
BP→SB,boilerplate,substantive,executive,qa,JPM,Q4-2025,0,0,1,1,0,1,0,"And done properly, as we talk about on the slide, we're very happy to be lenders to them."
BP→SB,boilerplate,substantive,executive,qa,FAST,Q4-2024,0,0,1,1,0,1,0,"So -- but I also look at it and say, there might be some folks that just got through at this stage of 2024, and they're kind of like, it's been a mediocre year."
BP→SB,boilerplate,substantive,executive,qa,JPM,Q4-2024,0,0,1,1,0,1,0,"All these things should be done in light of looking at what kind of public markets you want, the kind of private markets you want, what do you want in the banking system, what do you want out of the banking system."
BP→SB,boilerplate,substantive,executive,qa,JPM,Q4-2024,0,0,1,1,0,1,0,We do have a few top-down areas of focus.
BP→SB,boilerplate,substantive,executive,qa,NKE,Q2-2025,0,0,1,1,0,1,0,"Because when it's all said and done, they want and need from us is to drive mutually profitable growth for them and for us, and that's exactly what we're going to get back to."
BP→SB,boilerplate,substantive,executive,qa,FAST,Q4-2024,0,0,1,1,1,0,0,And we were able to study all the containers coming in and had conversations.
BP→SB,boilerplate,substantive,executive,qa,BLK,Q2-2024,0,0,1,1,0,1,0,"And I do believe we will have, post-closing, some amazing opportunities and then, therefore, some amazing announcements."
BP→SB,boilerplate,substantive,executive,qa,AMD,Q2-2024,0,0,1,1,1,0,0,I wouldn't really pay attention to all that noise in the system.
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q2-2025,0,0,1,1,1,0,0,"There's a surprising amount of dimorphism that comes out of the ivory tower, the folks who are doing AI research."
BP→SB,boilerplate,substantive,executive,qa,FDX,Q1-2025,0,0,1,1,1,0,0,"In fact, the entire exec committee was in the continent in June to show support for the team."
BP→SB,boilerplate,substantive,executive,qa,JNJ,Q3-2024,0,0,1,1,0,0,1,"And as you said, it is a really exciting time to be in electrophysiology."
BP→SB,boilerplate,substantive,executive,qa,AVGO,Q3-2025,0,0,0,0,1,1,1,And the rest of the other market I consider is collectively lumped as enterprise.
BP→SB,boilerplate,substantive,executive,prepared,NKE,Q4-2025,0,0,1,1,0,1,0,"It was his for the taking, an amazing reminder for NIKE that no matter the situation we face, we're the leader in an exciting industry."
BP→SB,boilerplate,substantive,executive,qa,INTC,Q1-2024,0,0,1,1,1,0,0,"And with that, we're improving our competitiveness."
BP→SB,boilerplate,substantive,executive,prepared,PLTR,Q2-2025,0,0,1,1,0,1,0,"A and B, now that everyone knows this, this is by far the best credential in tech."
BP→SB,boilerplate,substantive,executive,qa,BLK,Q4-2024,0,0,1,1,0,1,0,We've been at the forefront of advocacy for retirement solutions through our whole history.
BP→SB,boilerplate,substantive,executive,prepared,GS,Q1-2025,0,0,1,1,0,1,0,"To that end, we are always seeking ways to enhance the client experience while improving efficiency."
BP→SB,boilerplate,substantive,executive,qa,INTC,Q2-2025,0,0,1,0,1,1,0,And then we're going to take a different approach.
BP→SB,boilerplate,substantive,executive,prepared,FAST,Q2-2024,0,0,1,1,0,1,0,"As I mentioned earlier, we believe we have the right balance for managing our costs and we continue to maintain this balance."
BP→SB,boilerplate,substantive,executive,qa,FAST,Q4-2023,0,0,1,1,0,0,1,"We have a lot of customers in a lot of places that share a company, and we want to make sure that we weren't creating conflict in that regard."
BP→SB,boilerplate,substantive,executive,qa,FDX,Q1-2025,0,0,1,1,1,0,0,And so it really is a condensed peak period.
